0 0 --> Census year: 2018 || Block ID: 571 || Property ID: 602254 || Base property ID: 602254 || CLUE small area: Kensington || Trading Name: Shine Australia || Industry (ANZSIC4) code: 5511 || Industry (ANZSIC4) description: Motion Picture and Video Production || x coordinate: 144.90815 || y coordinate: -37.78505 || Location: (-37.78505447, 144.9081466) || 
144 -31 --> Census year: 2018 || Block ID: 928 || Property ID: 612698 || Base property ID: 612698 || CLUE small area: Parkville || Trading Name: Mercy Place Parkville || Industry (ANZSIC4) code: 8601 || Industry (ANZSIC4) description: Aged Care Residential Services || x coordinate: 144.93913 || y coordinate: -37.77623 || Location: (-37.77623408, 144.9391282) || 
144 -31 --> Census year: 2018 || Block ID: 928 || Property ID: 612698 || Base property ID: 612698 || CLUE small area: Parkville || Trading Name: Corner Cafe & Convenience Store || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.93913 || y coordinate: -37.77623 || Location: (-37.77623408, 144.9391282) || 
144 -31 --> Census year: 2018 || Block ID: 928 || Property ID: 612698 || Base property ID: 612698 || CLUE small area: Parkville || Trading Name: City Haven Massage Therapy || Industry (ANZSIC4) code: 8539 || Industry (ANZSIC4) description: Other Allied Health Services || x coordinate: 144.93913 || y coordinate: -37.77623 || Location: (-37.77623408, 144.9391282) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: E-Trans Group Pty Ltd || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Lincoln Minerals Limited || Industry (ANZSIC4) code: 1012 || Industry (ANZSIC4) description: Mineral Exploration || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Universal Realty Group Pty Ltd || Industry (ANZSIC4) code: 6720 || Industry (ANZSIC4) description: Real Estate Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Sacs Consulting Pty Ltd || Industry (ANZSIC4) code: 7211 || Industry (ANZSIC4) description: Employment Placement and Recruitment Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: First Samuel Limited || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: SMSF 360 || Industry (ANZSIC4) code: 6932 || Industry (ANZSIC4) description: Accounting Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Measurement Plus || Industry (ANZSIC4) code: 3499 || Industry (ANZSIC4) description: Other Machinery and Equipment Wholesaling n.e.c. || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Linchpin Legal Group || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Alex Kaar Pty Ltd || Industry (ANZSIC4) code: 7211 || Industry (ANZSIC4) description: Employment Placement and Recruitment Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: The Newstone Group Pty Ltd || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Diaxion || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Enlight Group || Industry (ANZSIC4) code: 6240 || Industry (ANZSIC4) description: Financial Asset Investing || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Unite Legal || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: JAJ Property Group || Industry (ANZSIC4) code: 3211 || Industry (ANZSIC4) description: Land Development and Subdivision || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: MP Travel || Industry (ANZSIC4) code: 7220 || Industry (ANZSIC4) description: Travel Agency and Tour Arrangement Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: IP88 Research || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Alliton Holdings Pty Ltd || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Consulate Of Colombia || Industry (ANZSIC4) code: 7552 || Industry (ANZSIC4) description: Foreign Government Representation || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: 2 Your Wealth || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: EWK Private Wealth Managment Pty Ltd || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Professional Wealth Pty Ltd || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: ANZ Mobile Lending || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Mcore || Industry (ANZSIC4) code: 6720 || Industry (ANZSIC4) description: Real Estate Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: Chiropractic Health & Wellness on Collins || Industry (ANZSIC4) code: 8534 || Industry (ANZSIC4) description: Chiropractic and Osteopathic Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
144.962689 -37.8160182 --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Trading Name: FBG Group || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
